"","SERIALNO","AGEP","COW","JWRIP","JWTR","HINCP","atransit","bus","SC","subway","rail","bike","home"
"235",11013,30,1,0,10,30000,0,0,0,0,0,0,0
"236",11068,42,3,1,1,64700,0,0,0,0,0,0,0
"237",11181,63,1,0,2,204600,1,1,0,0,0,0,0
"239",11418,49,1,1,1,54700,0,0,0,0,0,0,0
"240",11418,56,6,1,1,54700,0,0,0,0,0,0,0
"241",11474,31,1,0,2,1015000,1,1,0,0,0,0,0
"242",11474,39,1,1,1,1015000,0,0,0,0,0,0,0
"245",11532,31,1,1,1,109000,0,0,0,0,0,0,0
"246",11532,32,1,1,1,109000,0,0,0,0,0,0,0
"249",11567,55,1,1,1,105000,0,0,0,0,0,0,0
"250",11567,26,1,1,1,105000,0,0,0,0,0,0,0
"251",11585,37,1,1,1,71000,0,0,0,0,0,0,0
"252",11585,30,1,1,1,71000,0,0,0,0,0,0,0
"253",11622,62,1,1,1,1079000,0,0,0,0,0,0,0
"254",11731,24,1,0,2,55000,1,1,0,0,0,0,0
"256",11817,60,1,1,1,90900,0,0,0,0,0,0,0
"257",11817,56,6,0,4,90900,1,0,0,1,0,0,0
"258",11817,50,1,0,4,90900,1,0,0,1,0,0,0
"260",12004,51,1,1,1,628000,0,0,0,0,0,0,0
"261",12004,57,2,0,9,628000,1,0,0,0,0,1,0
"263",12054,27,1,1,1,207100,0,0,0,0,0,0,0
"264",12091,55,1,1,1,116000,0,0,0,0,0,0,0
"265",12091,43,1,1,1,116000,0,0,0,0,0,0,0
"266",12192,39,1,1,1,107000,0,0,0,0,0,0,0
"268",12209,64,5,1,1,36000,0,0,0,0,0,0,0
"269",12233,44,1,1,1,80000,0,0,0,0,0,0,0
"271",12354,24,1,0,2,651100,1,1,0,0,0,0,0
"273",12354,24,1,0,4,651100,1,0,0,1,0,0,0
"274",12354,23,1,0,2,651100,1,1,0,0,0,0,0
"275",12375,65,2,1,1,186000,0,0,0,0,0,0,0
"277",12662,36,2,1,1,165450,0,0,0,0,0,0,0
"278",12662,38,4,1,1,165450,0,0,0,0,0,0,0
"280",12828,43,1,1,1,498300,0,0,0,0,0,0,0
"281",12828,45,1,0,4,498300,1,0,0,1,0,0,0
"282",12854,31,2,1,1,155050,0,0,0,0,0,0,0
"283",12854,32,1,1,1,155050,0,0,0,0,0,0,0
"284",12868,57,1,1,1,152700,0,0,0,0,0,0,0
"286",12868,51,1,1,1,152700,0,0,0,0,0,0,0
"287",12868,23,2,1,1,152700,0,0,0,0,0,0,0
"289",12883,55,1,1,1,112200,0,0,0,0,0,0,0
"291",12920,40,1,1,1,120800,0,0,0,0,0,0,0
"292",12983,36,6,1,1,9000,0,0,0,0,0,0,0
"294",13000,40,1,0,2,61000,1,1,0,0,0,0,0
"296",13013,27,1,1,1,65000,0,0,0,0,0,0,0
"298",13221,40,6,0,11,106610,1,0,0,0,0,0,1
